CZCE, WH, 强筋麦, 1, 20
CFFEX, IF, 沪深300股指, 0.2, 300
SHFE, ag, 白银, 1, 15
SHFE, sn, 锡, 10, 1
SHFE, zn, 锌, 5, 5
CZCE, SR, 白砂糖, 1, 10
CZCE, LR, 晚籼稻, 1, 20
CZCE, ZC, 动力煤ZC, 0.2, 100
CZCE, AP, 苹果, 1, 10
CZCE, RM, 菜籽粕, 1, 10
CZCE, ME, 甲醇, 1, 50
SHFE, hc, 热轧板, 1, 10
SHFE, ru, 天然橡胶, 5, 10
DCE, cs, 玉米淀粉, 1, 10
CZCE, TA, 化纤, 2, 5
CZCE, TC, 动力煤, 0.2, 200
CZCE, CF, 棉花, 5, 5
CFFEX, TF, 5年国债, 0.005, 10000
SHFE, bu, 沥青, 2, 10
SHFE, ni, 镍, 10, 1
SHFE, pb, 铅, 5, 5
INE, sc, 原油, 0.1, 1000
CZCE, RS, 油菜籽, 1, 10
CZCE, OI, 菜籽油, 1, 10
DCE, j, 焦炭, 0.5, 100
DCE, jm, 焦煤, 0.5, 60
SHFE, au, 黄金, 0.02, 1000
CFFEX, TS, 2年期国债, 0.005, 20000
DCE, a, 豆一, 1, 10
DCE, i, 铁矿石, 0.5, 100
DCE, pp, 聚丙烯, 1, 5
SHFE, wr, 线材, 1, 10
CZCE, CY, 棉纱, 5, 5
DCE, b, 豆二, 1, 10
DCE, eg, 乙二醇, 1, 10
CZCE, MA, 甲醇MA, 1, 10
CZCE, RI, 早籼稻, 1, 20
CZCE, FG, 玻璃, 1, 20
DCE, fb, 纤维板, 0.05, 500
SHFE, al, 铝, 5, 5
SHFE, cu, 铜, 10, 5
SHFE, rb, 螺纹钢, 1, 10
DCE, jd, 鸡蛋, 1, 10
DCE, m, 豆粕, 1, 10
DCE, p, 棕榈油, 2, 10
CZCE, SM, 锰硅, 2, 5
DCE, v, 聚氯乙烯, 5, 5
CZCE, JR, 粳稻, 1, 20
CZCE, PM, 普通小麦, 1, 50
DCE, y, 豆油, 2, 10
DCE, c, 玉米, 1, 10
CZCE, SF, 硅铁, 2, 5
SHFE, sp, 漂针浆, 2, 10
DCE, bb, 胶合板, 0.05, 500
CFFEX, IC, 中证500股指, 0.2, 200
CFFEX, IH, 上证50股指, 0.2, 300
CFFEX, T, 10年国债, 0.005, 10000
SHFE, fu, 燃料油, 1, 10
DCE, l, 聚乙烯, 5, 5